id,ten_san_pham,gia,loai
1,Bánh mì,25000,Đồ uống
2,Mì xào 2,26138,Đồ uống
3,Phở bò ,40103,Ăn nhẹ
4,Cơm sườn 5,115506,Ăn tối
5,Cơm gà 1,109861,Đồ uống
6,Bún chả 17,55989,Ăn sáng
7,Cơm sườn 19,22137,Ăn sáng
8,Hủ tiếu 8,70546,Ăn nhẹ
9,Mì xào 4,71684,Ăn sáng
10,Bánh mì  ,60200,Ăn nhẹ
11,Cơm gà 2,116934,Ăn trưa
12,Bún chả 8,62640,Ăn nhẹ
13,Cơm gà 19,44000,
14,Cháo lòng 8,39155,Ăn sáng
15,Súp cua 10,83858,Ăn nhẹ
16,Hủ tiếu 11,76692,Ăn trưa
17,Súp cua 12,88346,Ăn trưa
18,Cháo lòng 14,81131,Ăn trưa
19,Cơm sườn 14,24136,Ăn tối
20,Mì xào 9,53682,Ăn trưa

21,Bánh mì ###,-15000,Đồ uống
22,@@@!!!,20000,Ăn sáng
23,,0,Đồ uống
24,Mì xào đặc biệt,abc123,Ăn trưa
25,Cơm gà siêu to,999999999999,Ăn tối
26,Phở bò,, 
27,   ,45000,Ăn nhẹ
28,Hủ tiếu 123,35000,
29,Cơm sườn!!!,xxyyzz,Ăn sáng
30,Gỏi cuốn,@50000,Ăn trưa

31,Bún chả,,,Đồ uống
32,Trà sữa trân châu,30000,Đồ uống
33,Cà phê sữa, ,Đồ uống
34,Cơm gà đặc biệt,-1,Ăn sáng
35,123456,45000,Ăn nhẹ
36,###,###,###
37,Cơm gia đình,50000,Ăn khuya
38,Súp cua hải sản,70000,Khác
39,Bánh mì pate,chuoiso,Ăn sáng
40,Trà đào cam sả,45000,123

41,Cơm sườn bì chả,0,Ăn trưa
42,Phở bò tái nạm gầu gân chín siêu dài siêu dài siêu dài siêu dài,65000,Ăn tối
43,, , 
44,Mì xào bò,35000,Ăn_sáng
45,Hủ tiếu khô,35000,Ăn  trưa   
46,Bánh mì ốp la,40000,Đồ uống  
47,Cơm tấm,1000000000000000,Ăn sáng
48,%%% Cơm gà,25000,Ăn nhẹ
49,Bánh mì thịt nướng,3.5,Ăn sáng
50,Bánh mì chả,3,5,Ăn sáng

51,Trà chanh,20000a,Đồ uống
52,!,10000,Đồ uống
53,Cơm gà xối mỡ,-9999999999,Ăn tối
54,Bún bò Huế, ,Ăn trưa
55,Súp cua,haha,Ăn nhẹ
56,Hủ tiếu nam vang,35000,ăn sáng
57,Gỏi cuốn tôm thịt,35000,ĐỒ UỐNG
58,Bánh mì chả lụa, ,ĂN NHẸ
59,Phở gà,0, 
60,Cơm rang dưa bò, ,Ăn khuya

61,Trà tắc, ,đồ uống
62,Trà sữa đường đen,abc,Đồ uống
63,Món lạ,50000,Ăn sáng
64,.,-5,!!!
65,Món test khoảng trắng đầu,25000,   Ăn trưa
66,Món test khoảng trắng cuối,25000,Ăn tối   
67, , ,     
68,Mì xào chay, 0 , Đồ uố&ng
69,Cơm sườn non,10000,Ăn- sáng
70,Bánh mì,,Đồ uống

71,,50000,Ăn sáng
72,******,80000,Ăn trưa
73,Cơm gà đặc biệt@@,60000,Đồ uống
74,123,20000,Ăn nhẹ
75,Phở bò !!!,45000,Ăn sáng
76,Mì xào,,Ăn sáng
77,Trà sen vàng,99999999999999,Ăn tối
78,Gỏi cuốn 222,35000,Ăn trưa
79,Súp cua???,45000,Ăn trưa
80,Phở bò tái,abc,Đồ uống

81,Hủ tiếu, -20 ,Ăn sáng
82,Bún chả đặc biệt,0,Ăn nhẹ
83,Phở bò béo, ,Đồ uống
84,Bánh mì kẹp thịt,$50000,Ăn trưa
85,Cơm sườn ốp la,123abc,Ăn sáng
86,Mì xào cải,abc,Ăn trưa
87,Cháo lòng,,Ăn sáng
88,Phở gà 888,50000,Ăn_sáng
89,Trà đào đá xay,60000,Ăn khuya
90,Hủ tiếu sa tế,80000,Ăn tối!

91,Mì xào bò lá quế,50000,đồ uống
92,Súp cua hoàng đế,abc100,Ăn sáng
93,Cơm tấm đặc biệt,50 000,Ăn trưa
94,Trà đào khổng lồ,abc,Đồ uống
95,Hủ tiếu Mỹ Tho,-345,Ăn tối
96,Bánh mì thịt nguội,   ,Đồ uống
97,Phở bò sốt vang,??? ,Ăn sáng
98,Cơm sườn chay,-1,Ăn trưa
99,Cơm gà nướng,abc123,Ăn nhẹ
100,Bún chả mắm tôm,0,Ăn sáng
