id,khach_hang_id,mon_id,so_luong,ngay_dat,trang_thai
1,27,29,5,2025-09-18,Đang xử lý
2,23,47,1,2025-10-30,Hoàn thành
3,80,81,7,2025-10-30,Đã hủy
4,59,20,1,2025-10-13,Đang xử lý
5,53,37,6,2025-11-07,Hoàn thành
6,97,95,10,2025-10-14,Đã hủy
7,32,3,8,2025-11-10,Đang xử lý
8,30,63,7,2025-08-24,Hoàn thành
9,76,91,8,2025-09-16,Đã hủy
10,29,7,4,2025-10-12,Đang xử lý
11,90,18,6,2025-11-05,Hoàn thành
12,52,12,6,2025-10-27,Đã hủy
13,95,76,4,2025-10-29,Đang xử lý
14,93,72,3,2025-09-18,Hoàn thành
15,43,78,8,2025-09-17,Đã hủy
16,3,85,8,2025-10-16,Đang xử lý
17,42,43,1,2025-10-17,Hoàn thành
18,23,86,9,2025-09-08,Đã hủy
19,89,17,5,2025-08-30,Đang xử lý
20,25,30,3,2025-08-21,Hoàn thành
21,62,26,1,2025-10-17,Đã hủy
22,95,28,5,2025-10-06,Đang xử lý
23,60,92,5,2025-08-18,Hoàn thành
24,16,18,2,2025-09-19,Đã hủy
25,26,34,4,2025-11-08,Đang xử lý
26,96,53,2,2025-11-01,Hoàn thành
27,7,32,9,2025-08-21,Đã hủy
28,9,86,4,2025-10-13,Đang xử lý
29,67,55,6,2025-09-24,Hoàn thành
30,84,40,3,2025-11-10,Đã hủy
31,6,8,2,2025-10-12,Đang xử lý
32,30,58,8,2025-10-01,Hoàn thành
33,33,84,5,2025-09-21,Đã hủy
34,61,99,4,2025-10-28,Đang xử lý
35,93,2,8,2025-09-09,Hoàn thành
36,87,18,6,2025-09-18,Đã hủy
37,20,20,3,2025-10-27,Đang xử lý
38,70,88,7,2025-09-30,Hoàn thành
39,22,28,4,2025-09-06,Đã hủy
40,95,76,1,2025-10-25,Đang xử lý
41,59,69,4,2025-10-26,Hoàn thành
42,19,45,9,2025-09-12,Đã hủy
43,31,88,1,2025-09-22,Đang xử lý
44,31,61,7,2025-08-25,Hoàn thành
45,81,6,7,2025-09-25,Đã hủy
46,99,39,6,2025-09-22,Đang xử lý
47,38,60,10,2025-10-21,Hoàn thành
48,18,41,1,2025-08-19,Đã hủy
49,97,58,9,2025-09-26,Đang xử lý
50,63,27,10,2025-09-09,Hoàn thành
51,101,69,2,2025-10-17,Đã hủy
52,48,60,7,2025-09-17,Đang xử lý
53,60,63,6,2025-09-04,Hoàn thành
54,87,70,10,2025-09-26,Đã hủy
55,38,69,4,2025-08-27,Đang xử lý
56,54,13,10,2025-09-04,Hoàn thành
57,25,11,3,2025-09-21,Đã hủy
58,70,95,5,2025-08-28,Đang xử lý
59,94,94,9,2025-09-07,Hoàn thành
60,83,30,8,2025-08-29,Đã hủy
61,41,40,1,2025-08-27,Đang xử lý
62,30,62,4,2025-09-30,Hoàn thành
63,39,86,4,2025-10-09,Đã hủy
64,86,39,1,2025-10-15,Đang xử lý
65,46,29,9,2025-10-28,Hoàn thành
66,99,36,8,2025-11-13,Đã hủy
67,66,92,8,2025-09-02,Đang xử lý
68,43,60,7,2025-10-07,Hoàn thành
69,12,46,5,2025-08-26,Đã hủy
70,86,53,6,2025-08-23,Đang xử lý
71,97,15,10,2025-08-30,Hoàn thành
72,61,64,1,2025-11-08,Đã hủy
73,6,49,6,2025-09-28,Đang xử lý
74,100,18,3,2025-10-22,Hoàn thành
75,17,51,4,2025-10-06,Đã hủy
76,46,64,9,2025-09-14,Đang xử lý
77,38,89,3,2025-08-26,Hoàn thành
78,49,30,4,2025-10-09,Đã hủy
79,40,97,7,2025-10-09,Đang xử lý
80,2,46,1,2025-10-21,Hoàn thành
81,17,79,5,2025-10-21,Đã hủy
82,88,19,9,2025-10-02,Đang xử lý
83,43,55,4,2025-09-11,Hoàn thành
84,60,7,5,2025-10-12,Đã hủy
85,31,9,10,2025-08-26,Đang xử lý
86,73,36,8,2025-08-23,Hoàn thành
87,76,19,2,2025-10-19,Đã hủy
88,70,67,4,2025-09-12,Đang xử lý
89,4,65,10,2025-08-21,Hoàn thành
