id,ten_nguyen_lieu,so_luong,don_vi,nha_cung_cap
1,Nguyên liệu 1,104,g,Công ty A
2,Nguyên liệu 2,189,chai,Công ty B
3,Nguyên liệu 3,164,lọ,Công ty C
4,Nguyên liệu 4,193,bó,Công ty D
5,Nguyên liệu 5,116,kg,Công ty E
6,Nguyên liệu 6,110,g,Công ty F
7,Nguyên liệu 7,139,chai,Công ty G
8,Nguyên liệu 8,79,lọ,Công ty H
9,Nguyên liệu 9,114,bó,Công ty I
10,Nguyên liệu 10,33,kg,Công ty J
11,Nguyên liệu 11,111,g,Công ty K
12,Nguyên liệu 12,128,chai,Công ty L
13,Nguyên liệu 13,76,lọ,Công ty M
14,Nguyên liệu 14,172,bó,Công ty N
15,Nguyên liệu 15,107,kg,Công ty O
16,Nguyên liệu 16,113,g,Công ty P
17,Nguyên liệu 17,183,chai,Công ty Q
18,Nguyên liệu 18,137,lọ,Công ty R
19,Nguyên liệu 19,125,bó,Công ty S
20,Nguyên liệu 20,55,kg,Công ty T
21,Nguyên liệu 21,117,g,Công ty U
22,Nguyên liệu 22,31,chai,Công ty V
23,Nguyên liệu 23,157,lọ,Công ty W
24,Nguyên liệu 24,68,bó,Công ty X
25,Nguyên liệu 25,113,kg,Công ty Y
26,Nguyên liệu 26,177,g,Công ty @
27,Nguyên liệu 27,37,chai,Công ty A
28,Nguyên liệu 28,192,lọ,Công ty B
29,Nguyên liệu 29,136,bó,Công ty C
30,Nguyên liệu 30,152,kg,Công ty D
31,Nguyên liệu 31,40,g,Công ty E
32,Nguyên liệu 32,154,chai,Công ty F
33,Nguyên liệu 33,39,lọ,Công ty G
34,Nguyên liệu 34,121,bó,Công ty H
35,Nguyên liệu 35,132,kg,Công ty I
36,Nguyên liệu 36,32,g,Công ty J
37,Nguyên liệu 37,37,chai,Công ty K
38,Nguyên liệu 38,164,lọ,Công ty L
39,Nguyên liệu 39,185,bó,Công ty M
40,Nguyên liệu 40,69,kg,Công ty N
41,Nguyên liệu 41,170,g,Công ty O
42,Nguyên liệu 42,123,chai,Công ty P
43,Nguyên liệu 43,209,lọ,Công ty Q
44,Nguyên liệu 44,114,bó,Công ty R
45,Nguyên liệu 45,207,kg,Công ty S
46,Nguyên liệu 46,209,g,Công ty T
47,Nguyên liệu 47,119,chai,Công ty U
48,Nguyên liệu 48,184,lọ,Công ty V
49,Nguyên liệu 49,140,bó,Công ty W
50,Nguyên liệu 50,154,kg,Công ty X
51,Nguyên liệu 51,204,g,Công ty Y
52,Nguyên liệu 52,138,chai,Công ty @
53,Nguyên liệu 53,160,lọ,Công ty A
54,Nguyên liệu 54,157,bó,Công ty B
55,Nguyên liệu 55,98,kg,Công ty C
56,Nguyên liệu 56,100,g,Công ty D
57,Nguyên liệu 57,64,chai,Công ty E
58,Nguyên liệu 58,65,lọ,Công ty F
59,Nguyên liệu 59,26,bó,Công ty G
60,Nguyên liệu 60,40,kg,Công ty H
61,Nguyên liệu 61,116,g,Công ty I
62,Nguyên liệu 62,31,chai,Công ty J
63,Nguyên liệu 63,175,lọ,Công ty K
64,Nguyên liệu 64,193,bó,Công ty L
65,Nguyên liệu 65,55,kg,Công ty M
66,Nguyên liệu 66,71,g,Công ty N
67,Nguyên liệu 67,126,chai,Công ty O
68,Nguyên liệu 68,130,lọ,Công ty P
69,Nguyên liệu 69,93,bó,Công ty Q
70,Nguyên liệu 70,22,kg,Công ty R
71,Nguyên liệu 71,125,g,Công ty S
72,Nguyên liệu 72,32,chai,Công ty T
73,Nguyên liệu 73,80,lọ,Công ty U
74,Nguyên liệu 74,162,bó,Công ty V
75,Nguyên liệu 75,185,kg,Công ty W
76,Nguyên liệu 76,87,g,Công ty X
77,Nguyên liệu 77,181,chai,Công ty Y
78,Nguyên liệu 78,161,lọ,Công ty @
79,Nguyên liệu 79,145,bó,Công ty A
80,Nguyên liệu 80,26,kg,Công ty B
81,Nguyên liệu 81,47,g,Công ty C
82,Nguyên liệu 82,173,chai,Công ty D
83,Nguyên liệu 83,114,lọ,Công ty E
84,Nguyên liệu 84,164,bó,Công ty F
85,Nguyên liệu 85,74,kg,Công ty G
86,Nguyên liệu 86,83,g,Công ty H
87,Nguyên liệu 87,33,chai,Công ty I
88,Nguyên liệu 88,60,lọ,Công ty J
89,Nguyên liệu 89,97,bó,Công ty K
90,Nguyên liệu 90,140,kg,Công ty L
91,Nguyên liệu 91,165,g,Công ty M
92,Nguyên liệu 92,122,chai,Công ty N
93,Nguyên liệu 93,196,lọ,Công ty O
94,Nguyên liệu 94,140,bó,Công ty P
95,Nguyên liệu 95,94,kg,Công ty Q
96,Nguyên liệu 96,170,g,Công ty R
97,Nguyên liệu 97,14,chai,Công ty S
98,Nguyên liệu 98,183,lọ,Công ty T
99,Nguyên liệu 99,195,bó,Công ty U
100,Nguyên liệu 100,138,kg,Công ty V
103,NL lỗi 2,20,lít,Công ty C
107,Nguyên liệu 123,100,g,Công ty G
