id,ten_nguyen_lieu,so_luong,don_vi,nha_cung_cap,_source,_extract_time,_run_id
1,Nguyên liệu 1,104,g,Công ty A,sql,2025-12-10T03:00:52.731043,20251210_030051
2,Nguyên liệu 2,189,chai,Công ty B,sql,2025-12-10T03:00:52.731043,20251210_030051
3,Nguyên liệu 3,164,lọ,Công ty C,sql,2025-12-10T03:00:52.731043,20251210_030051
4,Nguyên liệu 4,193,bó,Công ty D,sql,2025-12-10T03:00:52.732043,20251210_030051
5,Nguyên liệu 5,116,kg,Công ty E,sql,2025-12-10T03:00:52.732043,20251210_030051
6,Nguyên liệu 6,110,g,Công ty F,sql,2025-12-10T03:00:52.732043,20251210_030051
7,Nguyên liệu 7,139,chai,Công ty G,sql,2025-12-10T03:00:52.733248,20251210_030051
8,Nguyên liệu 8,79,lọ,Công ty H,sql,2025-12-10T03:00:52.733248,20251210_030051
9,Nguyên liệu 9,114,bó,Công ty I,sql,2025-12-10T03:00:52.733248,20251210_030051
10,Nguyên liệu 10,33,kg,Công ty J,sql,2025-12-10T03:00:52.733248,20251210_030051
11,Nguyên liệu 11,111,g,Công ty K,sql,2025-12-10T03:00:52.733248,20251210_030051
12,Nguyên liệu 12,128,chai,Công ty L,sql,2025-12-10T03:00:52.734249,20251210_030051
13,Nguyên liệu 13,76,lọ,Công ty M,sql,2025-12-10T03:00:52.734249,20251210_030051
14,Nguyên liệu 14,172,bó,Công ty N,sql,2025-12-10T03:00:52.734249,20251210_030051
15,Nguyên liệu 15,107,kg,Công ty O,sql,2025-12-10T03:00:52.734249,20251210_030051
16,Nguyên liệu 16,113,g,Công ty P,sql,2025-12-10T03:00:52.734249,20251210_030051
17,Nguyên liệu 17,183,chai,Công ty Q,sql,2025-12-10T03:00:52.735256,20251210_030051
18,Nguyên liệu 18,137,lọ,Công ty R,sql,2025-12-10T03:00:52.735256,20251210_030051
19,Nguyên liệu 19,125,bó,Công ty S,sql,2025-12-10T03:00:52.735256,20251210_030051
20,Nguyên liệu 20,55,kg,Công ty T,sql,2025-12-10T03:00:52.736257,20251210_030051
21,Nguyên liệu 21,117,g,Công ty U,sql,2025-12-10T03:00:52.736257,20251210_030051
22,Nguyên liệu 22,31,chai,Công ty V,sql,2025-12-10T03:00:52.736257,20251210_030051
23,Nguyên liệu 23,157,lọ,Công ty W,sql,2025-12-10T03:00:52.737258,20251210_030051
24,Nguyên liệu 24,68,bó,Công ty X,sql,2025-12-10T03:00:52.737258,20251210_030051
25,Nguyên liệu 25,113,kg,Công ty Y,sql,2025-12-10T03:00:52.737258,20251210_030051
26,Nguyên liệu 26,177,g,Công ty @,sql,2025-12-10T03:00:52.738260,20251210_030051
27,Nguyên liệu 27,37,chai,Công ty A,sql,2025-12-10T03:00:52.738260,20251210_030051
28,Nguyên liệu 28,192,lọ,Công ty B,sql,2025-12-10T03:00:52.738260,20251210_030051
29,Nguyên liệu 29,136,bó,Công ty C,sql,2025-12-10T03:00:52.739258,20251210_030051
30,Nguyên liệu 30,152,kg,Công ty D,sql,2025-12-10T03:00:52.739258,20251210_030051
31,Nguyên liệu 31,40,g,Công ty E,sql,2025-12-10T03:00:52.739258,20251210_030051
32,Nguyên liệu 32,154,chai,Công ty F,sql,2025-12-10T03:00:52.739258,20251210_030051
33,Nguyên liệu 33,39,lọ,Công ty G,sql,2025-12-10T03:00:52.740254,20251210_030051
34,Nguyên liệu 34,121,bó,Công ty H,sql,2025-12-10T03:00:52.740254,20251210_030051
